giacomo nizzolo,147
mathieu van der poel,253
mads pedersen,183
wout van aert,150
sam bennett,153
arnaud demare,48
marc hirschi,0
dan martin,6
richard carapaz,0
julian alaphilippe,275
primoz roglic,68
mikel landa,100
filippo ganna,86
tadej pogacar,339
alexander kristoff,3
bryan coquard,89
peter sagan,0
stefan kung,12
jakob fuglsang,79
wilco kelderman,0
tao geoghegan hart,26
egan bernal,313
giulio ciccone,106
guillaume martin,36
alejandro valverde,36
remco evenepoel,0
daryl impey,85
tim wellens,182
enric mas,0
aleksey lutsenko,14
hugh carthy,60
michael woods,95
thomas pidcock,153
chris froome,0
peerapol chawchiangkwang,25
remi cavagna,30
davide ballerini,281
geraint thomas,0
oliver naesen,20
elia viviani,39
jai hindley,0
kasper asgreen,7
neilson powless,92
thomas de gendt,3
sepp kuss,19
niccolo bonifazio,1
josef cerny,0
richie porte,0
biniam ghirmay,71
michael matthews,18
sonny colbrelli,40
simon yates,3
rohan dennis,7
caleb ewan,80
davide formolo,11
diego ulissi,0
nairo quintana,73
jasper stuyven,7
tiesj benoot,21
ben o connor,53
sergio higuita,57
benoit cosnefroy,0
romain bardet,12
maximilian schachmann,30
jack haig,58
greg van avermaet,85
matteo trentin,130
tejay van garderen,0
quinn simmons,35
aleksandr vlasov,97
david gaudu,166
warren barguil,74
philippe gilbert,106
george bennett,22
magnus cort,0
miguel angel lopez,0
michal kwiatkowski,77
thibaut pinot,32
alberto bettiol,9
pascal ackermann,38
fernando gaviria,38
adam yates,182
tim merlier,157
vincenzo nibali,37
rafal majka,7
matej mohoric,13
hugo hofstetter,29
florian senechal,155
joao almeida,141
soren kragh andersen,16
steven kruijswijk,0
lennard kamna,0
yves lampaert,5
patrick konrad,80
pavel sivakov,8
luka mezgec,15
